Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Tipo
192.168.100.15-66.110.49.116-49681-443-6,192.168.100.15,49681,66.110.49.116,443,6,21/01/2023 12:50:37 PM,110766021,13,21,708.0,1035.0,99.0,0.0,54.46153846153846,45.62640935652543,113.0,0.0,49.285714285714285,47.12445528294503,15.735872646359663,0.3069533390569297,3356546.090909091,10841806.590944352,46341286.0,0.0,64219065.0,5351588.749999999,12217703.51151042,40835132.0,107.0,110765963.0,5538298.150000001,13701088.80959562,46548269.0,0.0,0,0,0,0,260,420,0.1173645119923555,0.1895888270645742,0.0,113.0,49.82857142857143,46.03865748686941,2119.557983193277,0,0,0,0,1,0,0,0,1.0,51.294117647058826,54.46153846153846,49.285714285714285,0,0,0,0,0,0,13,708,21,1035,-1,63952,8,0,226652.25,40112.54217303278,286813.0,205670.0,27410026.0,19388669.116810177,46341286.0,5501739.0,No Label,multimedia
192.168.100.15-52.226.139.121-49679-443-6,192.168.100.15,49679,52.226.139.121,443,6,21/01/2023 12:51:34 PM,231789,1,2,0.0,268.0,0.0,0.0,0.0,0.0,169.0,99.0,134.0,49.49747468305833,1156.223979567624,12.942805741428629,115894.5,105260.62255421064,190325.0,41464.0,0.0,0.0,0.0,0.0,0.0,190325.0,190325.0,0.0,190325.0,190325.0,0,1,0,0,20,40,4.314268580476209,8.628537160952417,0.0,169.0,91.75,69.5,4830.249999999999,0,0,0,1,1,0,0,0,2.0,122.33333333333331,0.0,134.0,0,0,0,0,0,0,1,0,2,268,-1,7769,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
189.1.174.47-192.168.100.15-443-49675-6,192.168.100.15,49675,189.1.174.47,443,6,21/01/2023 12:51:55 PM,110986054,14,16,11.0,1.0,1.0,0.0,0.7857142857142857,0.4258153136263201,1.0,0.0,0.0625,0.25,0.1081216924785883,0.2703042311964709,3827105.310344828,4916224.01802149,10013481.0,36.0,100833042.0,7756387.846153846,4403222.246721577,10089969.0,3577.0,110986054.0,7399070.266666667,4586555.7300611045,10091996.0,9989.0,0,0,0,0,280,464,0.126141974558353,0.1441622566381178,0.0,1.0,0.4193548387096774,0.501610310127101,0.2516129032258064,0,0,0,0,1,0,0,0,1.0,0.4333333333333333,0.7857142857142857,0.0625,0,0,0,0,0,0,14,11,16,1,-1,501,11,0,76251.45454545456,4640.819159666456,87476.0,71926.0,10006495.181818182,3409.6070981323974,10013481.0,10002493.0,No Label,multimedia
192.168.100.3-224.0.0.251-5353-5353-17,192.168.100.3,5353,224.0.0.251,5353,17,21/01/2023 12:52:01 PM,100044528,5,1,470.0,94.0,94.0,94.0,94.0,0.0,94.0,94.0,94.0,0.0,5.63748973856921,0.0599732950911618,20008905.6,57280.28563825429,20070467.0,19952065.0,79974102.0,19993525.5,52893.5250322131,20070467.0,19952065.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,8,0.0499777459093015,0.0099955491818603,94.0,94.0,94.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,109.66666666666669,94.0,94.0,0,0,0,0,0,0,5,470,1,94,-1,-1,5,0,0.0,0.0,0.0,0.0,20008905.6,57280.28563825429,20070467.0,19952065.0,No Label,multimedia
192.168.100.15-66.203.125.13-49701-443-6,66.203.125.13,443,192.168.100.15,49701,6,21/01/2023 12:52:05 PM,91048343,7,5,1152.0,1756.0,384.0,0.0,164.57142857142858,205.25663378874196,384.0,343.0,351.2,18.335757415498275,31.939076584842404,0.131798115205677,8277122.090909089,13950152.890133696,30719589.0,831.0,90778568.0,15129761.333333334,16285928.637451457,30719589.0,269654.0,90779410.0,22694852.5,15142926.533584286,30990107.0,842.0,0,1,0,0,140,100,0.0768822338699782,0.0549158813356987,0.0,384.0,253.23076923076923,176.59754332292482,31186.692307692312,0,0,0,1,1,0,0,0,0.0,274.3333333333333,164.57142857142858,351.2,0,0,0,0,0,0,7,1152,5,1756,-1,64184,3,0,269719.6666666667,61.15826463637873,269775.0,269654.0,29989806.666666668,784752.8471221582,30719589.0,29159727.0,No Label,multimedia
192.168.100.1-239.255.255.250-35525-1900-17,192.168.100.1,35525,239.255.255.250,1900,17,21/01/2023 12:52:16 PM,64956353,7,1,928.0,132.0,133.0,132.0,132.57142857142858,0.5345224838248464,132.0,132.0,132.0,0.0,16.318650155743814,0.1231596238169344,9279479.0,22951612.768657237,61317026.0,258427.0,64694214.0,10782369.0,24762046.28582274,61317026.0,258427.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,8,0.1077646708398176,0.0153949529771168,132.0,133.0,132.44444444444446,0.5270462766947243,0.2777777777777718,0,0,0,0,0,0,0,0,0.0,149.0,132.57142857142858,132.0,0,0,0,0,0,0,7,928,1,132,-1,-1,7,0,1821477.0,0.0,1821477.0,1821477.0,61317026.0,0.0,61317026.0,61317026.0,No Label,multimedia
192.168.100.15-23.61.148.153-49807-80-6,192.168.100.15,49807,23.61.148.153,80,6,21/01/2023 12:53:34 PM,60136867,4,4,213.0,338.0,213.0,0.0,53.25,106.5,338.0,0.0,84.5,169.0,9.162432755268078,0.1330298766645093,8590981.0,22650107.28192104,59956551.0,1.0,60069306.0,20023102.0,34583425.923912466,59956551.0,818.0,127717.0,42572.33333333333,37039.23996700437,67417.0,1.0,0,0,0,0,80,104,0.0665149383322546,0.0665149383322546,0.0,338.0,61.22222222222222,125.43900686965138,15734.944444444449,0,1,0,0,0,0,0,0,1.0,68.875,53.25,84.5,0,0,0,0,0,0,4,213,4,338,-1,501,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
192.168.100.15-66.110.49.114-49805-443-6,192.168.100.15,49805,66.110.49.114,443,6,21/01/2023 12:52:34 PM,61523767,15,12,2628.0,2601.0,1412.0,0.0,175.19999999999996,367.46237902675153,1300.0,0.0,216.75,401.3389238762941,84.99154481226743,0.4388547924901932,2366298.7307692305,11755839.17547968,60002014.0,0.0,61041864.0,4360133.142857143,16074838.08201238,60209396.0,5.0,61523767.0,5593069.727272727,18125096.494959075,60241086.0,0.0,0,0,0,0,300,256,0.2438082180501073,0.1950465744400858,0.0,1412.0,186.75000000000009,370.67901907875125,137402.93518518523,0,1,0,0,0,0,0,0,0.0,193.66666666666663,175.2,216.75,0,0,0,0,0,0,15,2628,12,2601,-1,63540,11,0,1282681.0,0.0,1282681.0,1282681.0,60002014.0,0.0,60002014.0,60002014.0,No Label,multimedia
192.168.100.15-23.38.153.77-49806-443-6,192.168.100.15,49806,23.38.153.77,443,6,21/01/2023 12:53:00 PM,109925438,18,34,1281.0,38487.0,960.0,0.0,71.16666666666669,228.0784823643981,1412.0,0.0,1131.970588235294,549.1083949565557,361.77249527993695,0.4730479218104184,2155400.7450980395,15324604.822070189,109448955.0,0.0,109839158.0,6461126.94117647,26539377.796764,109448955.0,236.0,476417.0,14436.87878787879,32609.81679624785,111754.0,0.0,0,0,0,0,360,704,0.1637473575497602,0.3093005642606582,0.0,1412.0,750.3396226415095,688.5367411959786,474082.8439767781,0,1,0,0,0,0,0,0,1.0,764.7692307692307,71.16666666666667,1131.970588235294,0,0,0,0,0,0,18,1281,34,38487,-1,501,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
192.168.100.15-23.38.153.77-49806-443-6,23.38.153.77,443,192.168.100.15,49806,6,21/01/2023 12:54:50 PM,1,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,31000000.0,2000000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,20,20,1000000.0,1000000.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
