Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
149.154.175.52-192.168.100.15-80-57930-6,192.168.100.15,57930,149.154.175.52,80,6,19/01/2023 03:56:02 PM,420763,3,2,427.0,0.0,227.0,0.0,142.33333333333334,124.00134407873703,0.0,0.0,0.0,0.0,1014.8230714202532,11.883174138410459,105190.75,106574.64106554617,197260.0,1015.0,222854.0,111427.0,121386.19269916987,197260.0,25594.0,196894.0,196894.0,0.0,196894.0,196894.0,0,0,0,0,60,64,7.129904483046276,4.753269655364184,0.0,227.0,71.16666666666666,110.58104117192362,12228.166666666666,0,1,0,0,0,0,0,0,0.0,85.4,142.33333333333334,0.0,0,0,0,0,0,0,3,427,2,0,-1,43400,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-80-57931-6,192.168.100.15,57931,149.154.175.53,80,6,19/01/2023 03:56:02 PM,420573,3,2,399.0,0.0,227.0,0.0,133.0,118.41874851559612,0.0,0.0,0.0,0.0,948.7056943741039,11.88854253601634,105143.25,107437.2598973466,199418.0,1163.0,223154.0,111577.0,124225.93353241505,199418.0,23736.0,196256.0,196256.0,0.0,196256.0,196256.0,0,0,0,0,60,64,7.133125521609804,4.755417014406536,0.0,227.0,66.5,104.47918452974257,10915.9,0,1,0,0,0,0,0,0,0.0,79.8,133.0,0.0,0,0,0,0,0,0,3,399,2,0,-1,43400,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-443-57924-6,192.168.100.15,57924,149.154.175.52,443,6,19/01/2023 03:56:00 PM,2701817,51,508,3851.0,626429.0,572.0,0.0,75.50980392156865,166.02956032574676,1240.0,0.0,1233.127952755906,78.4154047764479,233280.04820459711,206.89780247885034,4841.965949820786,29666.641199046284,307825.0,0.0,2510164.0,50203.280000000006,83723.59752794931,307825.0,214.0,2671267.0,5268.77120315582,66429.69301487338,1326608.0,0.0,0,0,0,0,1020,10172,18.876185914886168,188.02161656396416,0.0,1240.0,1125.4999999999989,348.45321381535115,121419.64221824684,0,1,0,0,0,0,0,0,9.0,1127.5134168157424,75.50980392156863,1233.1279527559054,0,0,0,0,0,0,51,3851,508,626429,-1,413,10,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-443-57879-6,192.168.100.15,57879,149.154.175.52,443,6,19/01/2023 03:55:19 PM,44190564,2797,28489,98991.0,3.5294342E7,1240.0,0.0,35.391848409009725,115.44068783791985,1240.0,0.0,1238.8761276282114,35.638571233453334,800925.1251013677,707.9791966447859,1412.516030046346,11285.842043854438,321717.0,0.0,4.4006522E7,15739.099427753943,34802.14150231531,321874.0,12.0,4.418475E7,1550.9951558550924,13331.905150816734,426384.0,0.0,0,0,0,0,62156,569804,63.29405526482984,644.6851413799561,0.0,1240.0,1131.2472592450586,346.840523429406,120298.34869278433,0,1,0,0,0,0,0,0,10.0,1131.2834175030364,35.391848409009654,1238.8761276282073,0,0,0,0,0,0,2797,98991,28489,35294342,-1,3527,276,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-443-57938-6,192.168.100.15,57938,149.154.175.53,443,6,19/01/2023 03:56:03 PM,372405,2,2,225.0,153.0,225.0,0.0,112.5,159.0990257669732,153.0,0.0,76.5,108.18733752154178,1015.023965843638,10.740994347551725,124135.0,104925.64030302603,189103.0,3086.0,183302.0,183302.0,0.0,183302.0,183302.0,369319.0,369319.0,0.0,369319.0,369319.0,0,0,0,0,40,52,5.370497173775862,5.370497173775862,0.0,225.0,75.6,106.60347086281946,11364.3,0,1,0,0,0,0,0,0,1.0,94.5,112.5,76.5,0,0,0,0,0,0,2,225,2,153,-1,338,1,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-57939-6,192.168.100.15,57939,149.154.175.52,80,6,19/01/2023 03:56:03 PM,148202,1,1,244.0,227.0,244.0,244.0,244.0,0.0,227.0,227.0,227.0,0.0,3178.0947625538115,13.495094533137205,148202.0,0.0,148202.0,148202.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,6.747547266568603,6.747547266568603,227.0,244.0,232.66666666666666,9.814954576223638,96.33333333333334,0,0,0,1,1,0,0,0,1.0,349.0,244.0,227.0,0,0,0,0,0,0,1,244,1,227,-1,513,1,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-80-57940-6,192.168.100.15,57940,149.154.175.53,80,6,19/01/2023 03:56:03 PM,393603,2,1,443.0,0.0,227.0,216.0,221.5,7.7781745930520225,0.0,0.0,0.0,0.0,1125.499551578621,7.62189312581459,196801.5,67908.41394481246,244820.0,148783.0,148783.0,148783.0,0.0,148783.0,148783.0,0,0,0,0,0,0,0,0,0,40,32,5.0812620838763936,2.5406310419381968,0.0,227.0,110.75,127.96190839464688,16374.25,0,1,0,0,0,0,0,0,0.0,147.66666666666666,221.5,0.0,0,0,0,0,0,0,2,443,1,0,-1,64240,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-443-57934-6,192.168.100.15,57934,149.154.175.53,443,6,19/01/2023 03:56:03 PM,412279,2,1,213.0,0.0,213.0,0.0,106.5,150.61374439273462,0.0,0.0,0.0,0.0,516.6404303881594,7.276625780114922,206139.5,456.08387386532314,206462.0,205817.0,206462.0,206462.0,0.0,206462.0,206462.0,0,0,0,0,0,0,0,0,0,40,32,4.851083853409948,2.425541926704974,0.0,213.0,53.25,106.5,11342.25,0,1,0,0,0,0,0,0,0.0,71.0,106.5,0.0,0,0,0,0,0,0,2,213,1,0,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-57935-6,192.168.100.15,57935,149.154.175.52,80,6,19/01/2023 03:56:03 PM,415319,2,1,427.0,0.0,227.0,200.0,213.5,19.091883092036785,0.0,0.0,0.0,0.0,1028.125368692499,7.223363246083132,207659.5,46368.527176307856,240447.0,174872.0,174872.0,174872.0,0.0,174872.0,174872.0,0,0,0,0,0,0,0,0,0,40,32,4.815575497388754,2.407787748694377,0.0,227.0,106.75,123.75614462859343,15315.583333333334,0,1,0,0,0,0,0,0,0.0,142.33333333333334,213.5,0.0,0,0,0,0,0,0,2,427,1,0,-1,64240,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-80-57936-6,192.168.100.15,57936,149.154.175.53,80,6,19/01/2023 03:56:03 PM,415966,2,1,491.0,0.0,264.0,227.0,245.5,26.16295090390226,0.0,0.0,0.0,0.0,1180.3849353072126,7.212127914300688,207983.0,58112.86370503522,249075.0,166891.0,166891.0,166891.0,0.0,166891.0,166891.0,0,0,0,0,0,0,0,0,0,40,32,4.808085276200458,2.404042638100229,0.0,264.0,122.75,142.54209904445773,20318.25,0,1,0,0,0,0,0,0,0.0,163.66666666666666,245.5,0.0,0,0,0,0,0,0,2,491,1,0,-1,64240,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-443-57941-6,192.168.100.15,57941,149.154.175.52,443,6,19/01/2023 03:56:03 PM,359860,2,1,241.0,0.0,241.0,0.0,120.5,170.41273426595797,0.0,0.0,0.0,0.0,669.7048852331462,8.336575334852443,179930.0,26096.482866470724,198383.0,161477.0,161477.0,161477.0,0.0,161477.0,161477.0,0,0,0,0,0,0,0,0,0,40,32,5.557716889901628,2.778858444950814,0.0,241.0,60.25,120.5,14520.25,0,1,0,0,0,0,0,0,0.0,80.33333333333333,120.5,0.0,0,0,0,0,0,0,2,241,1,0,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-57943-6,192.168.100.15,57943,149.154.175.52,80,6,19/01/2023 03:56:03 PM,138220,1,1,104.0,227.0,104.0,104.0,104.0,0.0,227.0,227.0,227.0,0.0,2394.7330342931555,14.46968600781363,138220.0,0.0,138220.0,138220.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,7.234843003906815,7.234843003906815,104.0,227.0,186.0,71.01408311032397,5043.0,0,0,0,1,1,0,0,0,1.0,279.0,104.0,227.0,0,0,0,0,0,0,1,104,1,227,-1,513,1,0,0,0,0,0,0,0,0,0,No Label
