Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
149.154.175.52-192.168.100.15-443-54967-6,192.168.100.15,54967,149.154.175.52,443,6,19/01/2023 04:19:08 PM,388284,3,2,349.0,0.0,349.0,0.0,116.33333333333334,201.49524394717938,0.0,0.0,0.0,0.0,898.8266320528272,12.877172378980333,97071.0,111324.02304683987,199321.0,520.0,187977.0,93988.5,132184.42035466962,187457.0,520.0,199321.0,199321.0,0.0,199321.0,199321.0,0,0,0,0,60,64,7.7263034273882,5.150868951592133,0.0,349.0,58.166666666666664,142.47865337188819,20300.166666666668,0,1,0,0,0,0,0,0,0.0,69.8,116.33333333333333,0.0,0,0,0,0,0,0,3,349,2,0,-1,43400,1,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-54973-6,192.168.100.15,54973,149.154.175.52,80,6,19/01/2023 04:19:08 PM,383956,3,2,435.0,0.0,227.0,0.0,145.0,125.93252161375949,0.0,0.0,0.0,0.0,1132.942316307077,13.022325474793986,95989.0,105020.25089476792,199936.0,311.0,210876.0,105438.0,133640.35321713274,199936.0,10940.0,172769.0,172769.0,0.0,172769.0,172769.0,0,0,0,0,60,64,7.813395284876392,5.208930189917594,0.0,227.0,72.5,112.47710878218732,12651.1,0,1,0,0,0,0,0,0,0.0,87.0,145.0,0.0,0,0,0,0,0,0,3,435,2,0,-1,43400,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-80-54972-6,192.168.100.15,54972,149.154.175.53,80,6,19/01/2023 04:19:08 PM,384199,3,2,419.0,0.0,227.0,0.0,139.66666666666666,122.21429267206571,0.0,0.0,0.0,0.0,1090.5806626253582,13.01408905280857,96049.75,99243.5034091233,182961.0,958.0,200280.0,100140.0,113658.92979436327,180509.0,19771.0,182961.0,182961.0,0.0,182961.0,182961.0,0,0,0,0,60,64,7.808453431685142,5.205635621123428,0.0,227.0,69.83333333333333,108.75001915708643,11826.566666666666,0,1,0,0,0,0,0,0,0.0,83.8,139.66666666666666,0.0,0,0,0,0,0,0,3,419,2,0,-1,65535,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-443-54969-6,149.154.175.53,443,192.168.100.15,54969,6,19/01/2023 04:19:08 PM,149522,1,2,0.0,89.0,0.0,0.0,0.0,0.0,89.0,0.0,44.5,62.932503525602726,595.2301333583018,20.06393707949332,74761.0,105282.54286442744,149207.0,315.0,0,0,0,0,0,315.0,315.0,0.0,315.0,315.0,0,1,0,0,20,40,6.687979026497773,13.375958052995546,0.0,89.0,44.5,51.3841739578767,2640.3333333333335,0,0,0,1,1,0,0,0,2.0,59.333333333333336,0.0,44.5,0,0,0,0,0,0,1,0,2,89,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-54974-6,149.154.175.52,80,192.168.100.15,54974,6,19/01/2023 04:19:08 PM,76481,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.150285691871186,76481.0,0.0,76481.0,76481.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13.075142845935593,13.075142845935593,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-80-54978-6,149.154.175.53,80,192.168.100.15,54978,6,19/01/2023 04:19:08 PM,122776,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.289828631002802,122776.0,0.0,122776.0,122776.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8.144914315501401,8.144914315501401,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-54973-6,149.154.175.52,80,192.168.100.15,54973,6,19/01/2023 04:19:08 PM,147708,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.540228017439814,147708.0,0.0,147708.0,147708.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6.770114008719907,6.770114008719907,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-54977-6,149.154.175.52,80,192.168.100.15,54977,6,19/01/2023 04:19:08 PM,106489,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.781282573786964,106489.0,0.0,106489.0,106489.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9.390641286893482,9.390641286893482,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-80-54972-6,149.154.175.53,80,192.168.100.15,54972,6,19/01/2023 04:19:08 PM,140126,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.272868703880793,140126.0,0.0,140126.0,140126.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.136434351940396,7.136434351940396,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,521,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-443-54967-6,149.154.175.52,443,192.168.100.15,54967,6,19/01/2023 04:19:08 PM,187692,1,2,0.0,89.0,0.0,0.0,0.0,0.0,89.0,0.0,44.5,62.932503525602726,474.18110521492656,15.983632760053705,93846.0,132214.82594626065,187336.0,356.0,0,0,0,0,0,356.0,356.0,0.0,356.0,356.0,0,1,0,0,20,40,5.3278775866845685,10.655755173369137,0.0,89.0,44.5,51.3841739578767,2640.3333333333335,0,0,0,1,1,0,0,0,2.0,59.333333333333336,0.0,44.5,0,0,0,0,0,0,1,0,2,89,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
